artist,title,album,url,isDownloaded
Mod Sun,I Remember Way Too Much,I Remember Way Too Much,https://music.youtube.com/watch?v=1Nn9WcUBcTwlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Aaron Taos,Amazing,Amazing,https://music.youtube.com/watch?v=pbM3figt8qMlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Sia,Snowman,Xmas Music,https://music.youtube.com/watch?v=kzyvlzabSHslist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Plain White T's,Hey There Delilah,All That We Needed,https://music.youtube.com/watch?v=oEeet9t--tIlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
LocalKandiKid,Imogen Heap - Wait It Out,,https://music.youtube.com/watch?v=nNbTW0lhR1Ylist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
believemenataliie,3 Rounds and a Sound - Blind Pilot,,https://music.youtube.com/watch?v=juvwlEO-x2olist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
The Constellations,Felicia,,https://music.youtube.com/watch?v=X46e4Qnr1TYlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
ma tt,Creature Fear - Bon Iver,,https://music.youtube.com/watch?v=FJ9EcydHagslist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
cool stuff for boys,The General Specific - Band of Horses,,https://music.youtube.com/watch?v=ZuRpADKxesQlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Josh Grant,Spoon -  Don't You Evah,,https://music.youtube.com/watch?v=eaqWSGenyE0list=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Pierre Denis,Chief - In The Valley,,https://music.youtube.com/watch?v=Ugmb-paVbj0list=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
The Head and the Heart,Honeybee,Living Mirage,https://music.youtube.com/watch?v=04cnPWgMrvMlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Foster The People,Sit Next to Me,Sacred Hearts Club,https://music.youtube.com/watch?v=8tMKanAqkbclist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
070 Shake,Guilty Conscience,Modus Vivendi,https://music.youtube.com/watch?v=mKpDqPXjwYklist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
The Red Jumpsuit Apparatus,False Pretense - Alliance Edition,,https://music.youtube.com/watch?v=MiCZdvQXULElist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
G-Eazy,All The Things You're Searching For (feat. Kossisko & Ashley Benson),Everything's Strange Here,https://music.youtube.com/watch?v=BpPnPRq2v3Ulist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Matt Maeson,Hallucinogenics,Hallucinogenics,https://music.youtube.com/watch?v=C2iWnPG52Vglist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Foster The People,Pumped Up Kicks,Torches,https://music.youtube.com/watch?v=rnO-MflYxCwlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Jack & Jack,No One Compares To You,,https://music.youtube.com/watch?v=eUJA5I5lG6Elist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Labrinth,When I R.I.P.,,https://music.youtube.com/watch?v=OsD1SJKtO9Ulist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Tove Lo,Habits (Stay High) (Hippie Sabotage Remix),,https://music.youtube.com/watch?v=SYM-RJwSGQ8list=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Kevin Garrett,Coloring,,https://music.youtube.com/watch?v=EGXfP9JGbqYlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
