artist,title,album,url,isDownloaded
Suicidal Tendencies,You Can't Bring Me Down [Clean],,https://music.youtube.com/watch?v=nxcJW6bs5oslist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,True
Bad Religion,American Jesus,,https://music.youtube.com/watch?v=12kcpP-8jfMlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
The Misfits,Hybrid Moments,Static Age,https://music.youtube.com/watch?v=wpuHOkPeGJ8list=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Dead Kennedys,Holiday in Cambodia,Give Me Convenience Or Give Me Death,https://music.youtube.com/watch?v=nrm2B0lhvYclist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
The Offspring,Genocide,,https://music.youtube.com/watch?v=SKy46KCcd2wlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Black Flag,My War,My War,https://music.youtube.com/watch?v=ga6v91ZGL1Ulist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Suicidal Tendencies,Institutionalized,Suicidal Tendencies,https://music.youtube.com/watch?v=AdUBTE9JpgIlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Adolescents,Kids of the Black Hole,Adolescents,https://music.youtube.com/watch?v=e1b0NO_Gtcklist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Misfits,I Turned into a Martian,Walk Among Us,https://music.youtube.com/watch?v=khVNFS3xVA8list=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Dead Kennedys,California Uber Alles,Give Me Convenience Or Give Me Death,https://music.youtube.com/watch?v=jrWflCJPM4wlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Rancid,Maxwell Murder,,https://music.youtube.com/watch?v=XcccqG6-dDglist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Agent Orange,Bloodstains,Living In Darkness (30th Anniversary Edition),https://music.youtube.com/watch?v=Xssze9dU47Ilist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Circle Jerks,Wild in the Streets,Wild in the Streets,https://music.youtube.com/watch?v=xhB28P8wrPklist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Bad Brains,I Against I,I Against I,https://music.youtube.com/watch?v=HKJ1t3ai23Mlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
The Misfits,Attitude,Static Age,https://music.youtube.com/watch?v=T9aEn1uITtMlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Bad Religion,Atomic Garden,,https://music.youtube.com/watch?v=AhzhiQA6-Awlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Green Day,Going to Pasalacqua,"1,039 / Smoothed out Slappy Hours",https://music.youtube.com/watch?v=d8V1_u6eC5olist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
No Use For A Name,Soul Mate,Leche Con Carne!,https://music.youtube.com/watch?v=H3_AQ3mZpQslist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Beastie Boys,Time for Livin',,https://music.youtube.com/watch?v=tUwgsCQTIQ0list=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Black Flag,TV Party,Damaged,https://music.youtube.com/watch?v=psUOyXGacL0list=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
SNFU,Painful Reminder,Something Green And Leafy This Way Comes,https://music.youtube.com/watch?v=kTfxoBGLCOElist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Minor Threat,Seeing Red,First Two Seven Inches,https://music.youtube.com/watch?v=ZM_JlObmQbQlist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Green Day,One of My Lies,Kerplunk!,https://music.youtube.com/watch?v=5zk7TYGVaY8list=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
Descendents,I'm Not A Loser,Milo Goes To College,https://music.youtube.com/watch?v=cT61ETsKLTklist=RDCLAK5uy_mykviNKPwD0nalgCmKxDkJZ3dhkDl3pSk,False
